field,r,theta,y,x
1,4,5.759586532,-2,3.464101615
2,3.5,0,0,3.5
3,4,0.523598776,2,3.464101615
4,3.5,5.235987756,-3.031088913,1.75
5,2,5.759586532,-1,1.732050808
6,2,0.523598776,1,1.732050808
7,3.5,1.047197551,3.031088913,1.75
8,4,4.71238898,-4,-7.35089E-16
9,2,4.71238898,-2,-3.67545E-16
10,0,0,0,0
11,2,1.570796327,2,1.22515E-16
12,4,1.570796327,4,2.4503E-16
13,3.5,4.188790205,-3.031088913,-1.75
14,2,3.665191429,-1,-1.732050808
15,2,2.617993878,1,-1.732050808
16,3.5,2.094395102,3.031088913,-1.75
17,4,3.665191429,-2,-3.464101615
18,3.5,3.141592654,4.28802E-16,-3.5
19,4,2.617993878,2,-3.464101615
20,5.5,2.268928028,4.213244437,-3.535331853
21,5.5,1.919862177,5.168309414,-1.881110788
22,6,1.570796327,6,3.67545E-16
23,5.5,1.221730476,5.168309414,1.881110788
24,5.5,0.872664626,4.213244437,3.535331853
25,6,0.523598776,3,5.196152423
26,5.5,0.174532925,0.955064977,5.416442642
27,5.5,6.108652382,-0.955064977,5.416442642
28,6,5.759586532,-3,5.196152423
29,5.5,5.410520681,-4.213244437,3.535331853
30,5.5,5.061454831,-5.168309414,1.881110788
31,6,4.71238898,-6,-1.10263E-15
32,5.5,4.36332313,-5.168309414,-1.881110788
33,5.5,4.01425728,-4.213244437,-3.535331853
34,6,3.665191429,-3,-5.196152423
35,5.5,3.316125579,-0.955064977,-5.416442642
36,5.5,2.967059728,0.955064977,-5.416442642
37,6,2.617993878,3,-5.196152423
